t,tau,std
-2.0,0.8620431021551078,0.06485763600741913
-1.88,0.8712435621781088,0.05771507807803191
-1.7599999999999998,0.8761143939549919,0.06616997653098239
-1.6399999999999997,0.8660019207856944,0.05958370690277807
-1.5199999999999996,0.8666088476837633,0.05226334066412767
-1.4000000000000004,0.8498795310135876,0.04816992596781647
-1.2800000000000002,0.8500091671250228,0.05333132261103343
-1.1600000000000001,0.8829494106284261,0.06488621161312753
-1.04,0.87924396219811,0.0681253137970728
-0.9199999999999999,0.8641987654938306,0.05709251337226182
-0.7999999999999998,0.8638374775881651,0.06944271975722922
-0.6799999999999997,0.8584429221461072,0.05637424004282494
-0.5600000000000005,0.8504004147575801,0.06413437424433453
-0.4399999999999995,0.8763638181909096,0.05983871370788426
-0.3200000000000003,0.8700224484908454,0.07701118841174799
-0.20000000000000018,0.8708702101771756,0.05593942142728576
-0.08000000000000007,0.8481962559666444,0.05130103729459211
0.040000000000000036,0.9278029118847249,0.07015898637487777
0.16000000000000014,0.9560798039901992,0.06074510649897181
0.27999999999999936,0.9811784706882402,0.05855972559947582
0.40000000000000036,1.0105690469708672,0.07406592457015082
0.5199999999999996,0.9781822424454555,0.05010793498351224
0.6399999999999997,0.986740246103214,0.07139026873987757
0.7599999999999998,0.9360272891693362,0.06049582710261662
0.8799999999999999,0.8567917757590007,0.09038326330405984
1.0,0.7482685245373379,0.09144575392247933
1.12,0.6769588479423974,0.06551819310413837
1.2400000000000002,0.660270050539564,0.06047340300091027
1.3599999999999994,0.6537781434526273,0.04980830175247287
1.4800000000000004,0.6945885755826252,0.036570344092231005
1.5999999999999996,0.7438190091322747,0.04434721095960345
1.7199999999999998,0.7924556227811389,0.03527668047460558
1.8399999999999999,0.840648928998174,0.04824302982806033
1.96,0.8694834741737087,0.05174982960800941
2.08,0.8624431221561082,0.0568868558858525
2.1999999999999993,0.8905140909219373,0.07495909950440062
2.3200000000000003,0.8861183799930736,0.048693392021519594
2.4399999999999995,0.8849138109079364,0.07169797516370933
2.5599999999999987,0.9022026858918701,0.05733912673173642
2.6799999999999997,0.8764852035705234,0.06337024098632077
2.8000000000000007,0.8908137714578034,0.048247545804489624
2.92,0.8755637781889095,0.06402006544798958
3.039999999999999,0.8803320166008303,0.07478551416772326
3.16,0.8859642982149104,0.058267084162690386
3.2799999999999994,0.8669553477673884,0.05632957970926528
3.3999999999999986,0.8868443422171107,0.06785971177757762
3.5199999999999996,0.885668525850535,0.05833479393521766
3.6400000000000006,0.8826287468219566,0.07322721627371621
3.76,0.8933866048141115,0.06074065769747651
3.879999999999999,0.8971915262429789,0.07699491300770851
4.0,0.8879377302198442,0.06429977235282566
4.120000000000001,0.8930446522326121,0.06162905000472687
4.24,0.8623735534602817,0.06421196277673748
4.359999999999999,0.8982267295182941,0.06319219516875405
4.48,0.8857613612387936,0.05956405528863287
4.6,0.8759252777453687,0.07605718098080742
4.719999999999999,0.8844442222111104,0.05674863316432325
4.84,0.8870538765033492,0.0689671096269345
4.960000000000001,0.8626505399344041,0.07034308468165873
5.08,0.8922046102305117,0.04885513562012263
5.199999999999999,0.8605763621514411,0.06235637666621765
5.32,0.861100197867036,0.06480996098603707
5.4399999999999995,0.8739830930940484,0.06534348607272261
5.559999999999999,0.8658867725994995,0.06068091359138042
5.68,0.8750631079941094,0.055663955274923155
5.800000000000001,0.8756437821891095,0.061805355598429534
5.92,0.8744818193290617,0.06649412948564233
6.039999999999999,0.8697725208841084,0.06940194639159207
6.16,0.8844192209610482,0.051369088435826035
6.279999999999999,0.8522272267459525,0.05263233727022775
6.4,0.8610637428423142,0.06643136601625642
6.52,0.8863909862159769,0.07718207594997481
6.640000000000001,0.870505063714724,0.05753228766729327
6.76,0.8580029001450071,0.07825253178373495
6.879999999999999,0.880099177372662,0.0583675485865983
7.0,0.855192759637982,0.057306246538917756
7.119999999999999,0.8936696834841743,0.06076272357809012
7.24,0.8533153930423795,0.04803006570763351
7.359999999999999,0.889128327384111,0.06839366185056317
7.48,0.8826259494792924,0.06429886470674916
7.6,0.8848134714428026,0.05812425651498869
7.719999999999999,0.870105043713724,0.05498791576554711
7.84,0.8694064332846274,0.06605120968603459
7.959999999999999,0.8944947247362369,0.06039438913595541
8.08,0.8860443022151109,0.05930307356119179
8.2,0.852473392900414,0.06756767692878664
8.32,0.886364318215911,0.0766111861678486
8.44,0.8695249577293679,0.055546614119431674
8.559999999999999,0.8490242693952875,0.04401868169427735
8.68,0.867353712513212,0.06312007184553049
8.799999999999999,0.8710657755109978,0.05662972820606796
8.92,0.8654493330727142,0.06185210690088283
9.04,0.8903556288925557,0.06471752151249535
9.16,0.8633003078725364,0.058464311135713196
9.28,0.8914223488952224,0.0479650174402595
9.4,0.8602715850078223,0.05182390638012494
9.52,0.889228461423071,0.061704246822152024
9.639999999999999,0.886558613644968,0.057889765157852546
9.76,0.9055595636924701,0.056402755005276604
9.879999999999999,0.8826441322066104,0.06307003863192671
