t,deltaV,std
-2.0,1.1596984674521043,0.06210944422917614
-1.88,1.1693479578982529,0.06408667941362849
-1.7599999999999998,1.1783424746628324,0.05948493342290695
-1.6399999999999997,1.1678376420841379,0.053961678843225364
-1.5199999999999996,1.173725031037664,0.055756534653352445
-1.4000000000000004,1.1707893585265636,0.05170374235543375
-1.2800000000000002,1.1768321987445178,0.061358334474567566
-1.1600000000000001,1.1685338598489623,0.0606088103410833
-1.04,1.1740403368990233,0.059731398001454224
-0.9199999999999999,1.167282557002348,0.050480973941688594
-0.7999999999999998,1.1677654249624816,0.06301958870068587
-0.6799999999999997,1.1592493637458463,0.06213497246989451
-0.5600000000000005,1.1727181153135278,0.05021641774657665
-0.4399999999999995,1.1624701989888997,0.06073874077598165
-0.3200000000000003,1.173601225771395,0.07366867281775631
-0.20000000000000018,1.1806417994710714,0.06406090273484054
-0.08000000000000007,1.1637712801282687,0.053928661902811134
0.040000000000000036,1.3315477414516568,0.057408081340863386
0.16000000000000014,1.2185718192648118,0.07024331391124382
0.27999999999999936,1.1385279393767294,0.05224385395019019
0.40000000000000036,1.1208670924077462,0.06021666962304491
0.5199999999999996,1.124470159975682,0.05287830988376377
0.6399999999999997,1.1424911775939484,0.06396673633977248
0.7599999999999998,1.1125907947193443,0.08054934681992112
0.8799999999999999,1.1093652155408102,0.07094180305769922
1.0,1.136211927138009,0.03692514450854124
1.12,1.1533978388310944,0.04473738481137151
1.2400000000000002,1.1748028044307388,0.055770327190531176
1.3599999999999994,1.1893170121481342,0.05869569120615212
1.4800000000000004,1.1729195636439644,0.05813843053197652
1.5999999999999996,1.1581609567083233,0.05899085847597678
1.7199999999999998,1.1568610046458352,0.05634169526547041
1.8399999999999999,1.161225222675575,0.05102576096010972
1.96,1.1750090629450884,0.05667378257219121
2.08,1.1768638215437848,0.06703027624876165
2.1999999999999993,1.1624776724309407,0.05213655820110422
2.3200000000000003,1.170138668605513,0.07220981306290956
2.4399999999999995,1.1661809768257723,0.050763498071912265
2.5599999999999987,1.1737596929827476,0.06774312223603567
2.6799999999999997,1.1525290761885871,0.053425154443788016
2.8000000000000007,1.1745261871830013,0.06366422971762482
2.92,1.1695489605383236,0.0471876029043098
3.039999999999999,1.1768296112541008,0.05284369439483648
3.16,1.1635901472059826,0.049949851464831274
3.2799999999999994,1.1696351166570604,0.05693419638909947
3.3999999999999986,1.169066664624353,0.052462989952052924
3.5199999999999996,1.1680091130772,0.05940059355956686
3.6400000000000006,1.1695218828493807,0.0538444829674877
3.76,1.1679429788052937,0.05787757385339955
3.879999999999999,1.174150835274259,0.06039119707438414
4.0,1.1443715558112877,0.057222309311261925
4.120000000000001,1.1527250654259065,0.05305495461792804
4.24,1.1692286872307485,0.06677866038662249
4.359999999999999,1.1686393701975115,0.05855092424898782
4.48,1.16695493719629,0.06349832857822069
4.6,1.168944581358566,0.05586759797874544
4.719999999999999,1.1678771850229506,0.06108858237069436
4.84,1.1566778359047563,0.05511036857923523
4.960000000000001,1.1698832524071199,0.06421315648473087
5.08,1.1681700242161772,0.062195303350677085
5.199999999999999,1.1643032245404816,0.04843631997112363
5.32,1.16491573612467,0.04630955068306869
5.4399999999999995,1.170964712110336,0.04641837070373685
5.559999999999999,1.1629735552609908,0.06089174860472476
5.68,1.1723234353762775,0.054466950134061984
5.800000000000001,1.1763494029380988,0.05388447803534861
5.92,1.1579572101093831,0.05359894800665113
6.039999999999999,1.1641732645684588,0.05618008340644229
6.16,1.173090617719873,0.05322195578720388
6.279999999999999,1.1681821628316473,0.05665041257494619
6.4,1.1618123792561532,0.06921334477530093
6.52,1.164438315658267,0.053714490665889694
6.640000000000001,1.1622137957588312,0.06786834665238976
6.76,1.1624310355656018,0.06002539228223321
6.879999999999999,1.16064959251621,0.05952383351998923
7.0,1.172755132996686,0.063341770081912
7.119999999999999,1.1863906435293279,0.06673661155290708
7.24,1.1625229270027924,0.055537861306014534
7.359999999999999,1.1593840365106618,0.05049008108285683
7.48,1.1633759048479122,0.06378288139751909
7.6,1.165488322219686,0.05355316295542756
7.719999999999999,1.1658805957433769,0.063001625449389
7.84,1.1771190480998732,0.0614485335167907
7.959999999999999,1.154861683917231,0.051400430432469356
8.08,1.1717697415333777,0.054162776878546925
8.2,1.1602491291363373,0.0505872835851559
8.32,1.1769148829772915,0.05159143738340803
8.44,1.1676819911519685,0.05428710426415209
8.559999999999999,1.1695962002362785,0.05707893142526107
8.68,1.1925075947288801,0.06071466355973417
8.799999999999999,1.1714906325463903,0.06156489820138068
8.92,1.17540351161987,0.05228476377128821
9.04,1.1666932112392014,0.05507605902562281
9.16,1.182442218326135,0.0583100237634871
9.28,1.163427695536639,0.055775320582965006
9.4,1.1808161384143676,0.05684185777133524
9.52,1.171375170366708,0.062433529159264485
9.639999999999999,1.1613925451113374,0.044754068200721225
9.76,1.1698961998318318,0.05402461361148151
9.879999999999999,1.1587859309075934,0.06758503287277981
